No,Date,Type,Departure time,Travel time
836806,2020-01-22,товарный,12:04:00,17:51:00
379515,2017-11-18,пассажирский,23:46:00,17:47:00
550112,2004-04-24,товарный,14:49:00,22:26:00
515816,2010-05-27,товарный,23:33:00,02:39:00
312217,2006-05-16,пассажирский,20:19:00,11:27:00
554303,2007-11-12,пассажирский,13:47:00,10:05:00
441715,2020-07-20,скорый,19:52:00,11:00:00
691499,2000-01-01,товарный,13:24:00,21:22:00
327334,2020-03-04,скорый,03:47:00,15:59:00
385662,2013-08-27,пассажирский,22:26:00,19:50:00
729538,2017-05-25,товарный,16:14:00,13:55:00
326293,2018-04-07,товарный,01:45:00,14:38:00
368304,2006-08-30,товарный,00:39:00,20:05:00
346249,2001-11-24,пассажирский,13:12:00,22:58:00
254987,2012-07-20,товарный,21:30:00,01:18:00
214233,2016-12-20,товарный,14:22:00,12:57:00
994369,2010-05-15,товарный,13:26:00,02:52:00
426227,2006-06-19,пассажирский,16:51:00,09:48:00
856321,2017-12-09,товарный,02:55:00,16:44:00
894563,2005-08-30,пассажирский,00:14:00,10:40:00
626003,2003-06-11,скорый,14:39:00,21:32:00
330760,2012-09-11,пассажирский,14:26:00,14:29:00
775747,2018-09-24,товарный,10:14:00,16:53:00
709404,2024-01-06,товарный,18:35:00,12:31:00
087822,2020-03-12,пассажирский,09:18:00,18:16:00
569621,2009-03-20,пассажирский,07:36:00,15:05:00
014305,2011-07-30,скорый,00:27:00,12:47:00
085595,2018-01-21,скорый,02:24:00,22:48:00
269044,2019-12-30,скорый,19:16:00,13:57:00
334354,2018-10-01,товарный,01:24:00,04:11:00
907554,2019-07-16,товарный,18:27:00,20:09:00
306412,2001-11-28,скорый,04:31:00,01:04:00
294106,2017-10-16,пассажирский,20:03:00,00:49:00
336322,2004-10-23,скорый,06:17:00,07:08:00
552206,2016-09-15,пассажирский,10:35:00,02:53:00
784935,2008-07-07,товарный,21:24:00,03:24:00
378219,2003-11-12,скорый,21:12:00,16:12:00
128015,2001-11-03,товарный,18:19:00,02:04:00
356626,2002-02-07,пассажирский,13:16:00,22:36:00
331145,2002-10-26,скорый,22:38:00,13:48:00
870316,2004-09-29,скорый,20:26:00,19:23:00
539629,2016-01-29,пассажирский,23:52:00,18:35:00
377164,2021-08-20,пассажирский,21:06:00,20:58:00
516099,2014-12-21,скорый,15:24:00,02:13:00
829529,2000-11-01,товарный,02:19:00,10:56:00
942606,2003-02-17,скорый,15:48:00,14:18:00
393782,2012-02-08,товарный,01:36:00,13:29:00
348895,2020-09-24,скорый,20:02:00,22:30:00
466383,2013-03-06,пассажирский,23:59:00,13:03:00
334834,2003-10-11,скорый,09:06:00,06:03:00
672223,2015-03-16,скорый,22:42:00,15:01:00
882379,2014-12-16,пассажирский,09:21:00,01:05:00
526008,2021-06-21,пассажирский,07:04:00,15:32:00
986439,2016-04-18,пассажирский,15:07:00,06:10:00
452792,2021-09-10,скорый,05:07:00,05:32:00
396416,2024-05-17,скорый,01:42:00,09:10:00
584806,2004-06-26,товарный,01:04:00,03:48:00
766376,2010-10-05,товарный,11:46:00,07:54:00
047292,2020-03-04,скорый,12:56:00,07:09:00
166541,2010-11-21,товарный,12:12:00,02:01:00
770271,2002-08-03,скорый,06:56:00,22:52:00
385809,2001-01-12,товарный,15:22:00,03:48:00
881945,2018-11-11,пассажирский,22:06:00,22:39:00
666293,2017-06-22,скорый,06:34:00,08:18:00
099423,2013-09-11,пассажирский,04:53:00,23:15:00
165645,2020-02-05,товарный,16:38:00,08:31:00
139760,2010-02-14,скорый,19:56:00,12:09:00
148664,2000-06-02,скорый,20:44:00,04:41:00
058772,2002-04-28,пассажирский,00:02:00,04:39:00
425683,2004-07-01,пассажирский,20:54:00,12:29:00
800115,2021-06-23,пассажирский,17:36:00,04:59:00
788009,2010-12-03,скорый,17:44:00,08:20:00
655087,2005-01-28,товарный,03:26:00,10:37:00
399765,2002-05-13,пассажирский,01:31:00,22:11:00
945768,2007-08-02,пассажирский,13:48:00,16:16:00
923712,2006-04-01,скорый,07:00:00,12:33:00
692792,2015-12-05,товарный,22:47:00,04:36:00
022350,2022-08-07,товарный,06:31:00,02:50:00
204279,2014-05-29,товарный,08:40:00,00:34:00
646752,2018-11-10,товарный,19:37:00,20:28:00
661343,2021-12-12,пассажирский,07:57:00,21:22:00
665581,2016-04-09,скорый,13:20:00,18:35:00
756902,2005-01-25,пассажирский,12:38:00,07:34:00
966298,2003-12-13,скорый,16:48:00,11:45:00
358090,2023-08-11,скорый,05:30:00,15:48:00
062309,2022-03-14,товарный,16:35:00,07:51:00
737931,2012-09-12,пассажирский,08:52:00,13:10:00
023135,2023-09-20,скорый,02:07:00,10:44:00
017032,2004-04-13,скорый,10:54:00,11:42:00
896303,2012-11-04,товарный,21:24:00,02:44:00
288204,2024-09-25,пассажирский,16:17:00,01:23:00
736446,2004-09-12,пассажирский,02:42:00,06:21:00
533782,2013-01-22,пассажирский,12:20:00,20:44:00
494628,2011-04-06,товарный,20:30:00,09:42:00
106473,2010-06-25,товарный,00:35:00,17:47:00
309565,2015-12-25,пассажирский,02:16:00,16:20:00
998822,2002-12-24,пассажирский,03:30:00,09:04:00
481379,2011-08-19,скорый,05:59:00,04:14:00
043435,2019-04-22,скорый,11:22:00,12:52:00
493464,2012-11-14,скорый,16:57:00,10:59:00
188258,2010-10-03,товарный,04:14:00,15:05:00
836107,2010-10-04,пассажирский,18:43:00,01:14:00
944327,2003-02-27,скорый,03:58:00,12:40:00
890350,2023-03-16,скорый,07:47:00,12:32:00
421486,2013-03-16,скорый,09:46:00,21:20:00
461303,2022-09-29,скорый,17:29:00,20:09:00
571157,2002-04-16,скорый,03:30:00,00:33:00
792023,2018-07-15,скорый,20:27:00,17:44:00
725548,2003-05-21,товарный,21:40:00,23:31:00
397394,2009-08-10,пассажирский,00:55:00,20:39:00
350777,2013-01-21,пассажирский,21:46:00,16:20:00
759815,2021-11-19,пассажирский,06:47:00,04:12:00
535712,2006-12-28,пассажирский,19:16:00,04:57:00
694923,2010-05-24,товарный,08:36:00,14:04:00
326189,2023-09-15,товарный,06:29:00,21:55:00
727169,2001-07-13,пассажирский,10:30:00,20:31:00
194884,2023-02-25,пассажирский,13:24:00,13:59:00
462218,2019-11-06,пассажирский,00:14:00,13:35:00
745144,2000-01-01,пассажирский,19:02:00,05:15:00
128443,2015-04-01,пассажирский,12:35:00,13:28:00
795368,2013-09-07,товарный,01:48:00,04:50:00
