No,Date,Type,Departure time,Travel time
619612,2006-01-20,пассажирский,13:30:00,15:29:00
583166,2018-09-11,товарный,01:47:00,04:15:00
065321,2020-05-01,товарный,19:01:00,09:25:00
373750,2014-03-04,скорый,22:25:00,10:47:00
501461,2016-11-18,товарный,16:22:00,19:21:00
048511,2016-12-17,пассажирский,06:38:00,13:30:00
896327,2009-08-01,скорый,05:40:00,17:30:00
251811,2001-06-25,скорый,04:19:00,18:53:00
445242,2023-08-02,товарный,23:08:00,13:19:00
768110,2001-08-27,товарный,18:38:00,01:31:00
186780,2001-08-04,скорый,12:03:00,02:20:00
873189,2003-02-21,скорый,08:12:00,14:23:00
234022,2022-03-30,скорый,11:53:00,21:49:00
628179,2020-12-15,скорый,10:22:00,09:47:00
983683,2012-04-12,пассажирский,06:55:00,13:16:00
446623,2002-11-28,товарный,10:56:00,23:10:00
878589,2005-08-31,скорый,12:10:00,20:19:00
817985,2014-02-05,товарный,09:01:00,17:49:00
390095,2011-02-13,пассажирский,06:18:00,14:31:00
043644,2021-03-29,скорый,13:13:00,01:21:00
052245,2007-10-05,товарный,21:20:00,02:18:00
524065,2004-07-14,скорый,10:13:00,09:17:00
092312,2021-03-29,скорый,00:23:00,00:01:00
434217,2013-05-07,пассажирский,07:57:00,04:02:00
739506,2004-01-13,пассажирский,19:00:00,14:02:00
740513,2018-01-10,пассажирский,11:05:00,23:09:00
062074,2017-10-29,товарный,14:42:00,19:20:00
330216,2008-03-12,скорый,06:32:00,06:28:00
127631,2002-01-02,скорый,13:58:00,13:46:00
147614,2003-08-05,скорый,13:05:00,13:54:00
581330,2015-07-06,скорый,21:23:00,07:08:00
955853,2002-09-30,скорый,16:19:00,10:57:00
160775,2024-04-25,пассажирский,08:12:00,02:28:00
622636,2001-07-31,скорый,06:11:00,10:02:00
714824,2007-09-29,товарный,14:59:00,04:23:00
714927,2013-01-08,товарный,13:06:00,13:20:00
381905,2017-08-02,скорый,16:04:00,10:08:00
539323,2023-10-24,товарный,15:18:00,10:24:00
095276,2006-02-27,товарный,02:31:00,18:07:00
221186,2011-11-07,пассажирский,00:10:00,15:21:00
519120,2008-11-30,скорый,21:58:00,00:43:00
851979,2008-06-20,пассажирский,10:03:00,13:42:00
939075,2010-10-28,скорый,04:46:00,04:52:00
981443,2005-03-29,товарный,05:45:00,02:52:00
936600,2013-11-21,пассажирский,22:04:00,05:00:00
179994,2000-12-12,пассажирский,15:05:00,22:05:00
445853,2023-02-04,скорый,23:46:00,05:36:00
610332,2022-04-12,товарный,17:39:00,16:01:00
227408,2012-04-18,товарный,06:27:00,01:53:00
405994,2003-04-01,пассажирский,20:38:00,15:44:00
113382,2023-12-24,скорый,02:55:00,08:59:00
791156,2008-07-10,пассажирский,12:50:00,03:32:00
228151,2007-12-05,скорый,15:54:00,21:18:00
744804,2018-07-25,товарный,02:50:00,17:00:00
628121,2008-04-05,товарный,01:35:00,17:18:00
927892,2003-07-08,товарный,22:09:00,01:55:00
628464,2017-09-22,товарный,14:29:00,02:53:00
618313,2012-08-17,скорый,06:43:00,05:59:00
861294,2020-05-04,товарный,23:53:00,10:23:00
585797,2003-06-17,скорый,15:30:00,09:40:00
113887,2010-12-12,скорый,22:57:00,09:22:00
955682,2007-05-20,скорый,15:45:00,17:28:00
374713,2009-06-29,товарный,04:28:00,17:30:00
446461,2018-09-08,товарный,17:19:00,22:09:00
300977,2018-06-26,пассажирский,16:23:00,19:26:00
853242,2021-09-26,пассажирский,13:04:00,13:11:00
623253,2021-10-03,товарный,15:14:00,01:39:00
584390,2001-09-30,товарный,15:22:00,13:35:00
748371,2014-12-10,товарный,14:01:00,03:59:00
263294,2018-04-07,скорый,20:35:00,08:53:00
901472,2004-10-01,пассажирский,18:15:00,12:44:00
922772,2016-03-19,скорый,04:12:00,20:27:00
819334,2023-12-25,пассажирский,09:01:00,12:53:00
539211,2008-05-31,скорый,14:50:00,09:48:00
747495,2021-05-03,скорый,18:04:00,19:07:00
538847,2015-02-13,пассажирский,23:39:00,02:15:00
639248,2009-06-10,скорый,07:27:00,12:13:00
624335,2016-04-02,пассажирский,04:49:00,11:57:00
570515,2017-03-11,пассажирский,03:57:00,04:37:00
263426,2022-06-04,скорый,07:47:00,15:17:00
828197,2006-07-19,товарный,20:23:00,20:26:00
090723,2011-10-08,пассажирский,23:43:00,03:31:00
038067,2015-05-03,товарный,12:53:00,04:46:00
243457,2003-04-04,пассажирский,22:14:00,00:21:00
608803,2019-08-23,скорый,16:00:00,06:58:00
069316,2010-07-12,товарный,06:24:00,04:43:00
071391,2011-03-18,скорый,00:49:00,10:04:00
086579,2013-06-19,пассажирский,10:31:00,01:56:00
534471,2024-10-15,товарный,06:28:00,08:02:00
125411,2003-12-06,товарный,23:22:00,18:56:00
763359,2023-11-27,пассажирский,20:37:00,13:50:00
833118,2022-03-21,товарный,18:50:00,02:13:00
