No,Date,Type,Departure time,Travel time
206573,2017-03-27,пассажирский,05:35:00,00:07:00
522002,2023-03-29,пассажирский,08:52:00,03:03:00
108125,2022-01-04,скорый,07:15:00,11:34:00
512677,2013-09-07,товарный,02:32:00,08:45:00
729293,2004-03-18,скорый,17:35:00,02:09:00
650781,2020-12-08,пассажирский,10:09:00,19:33:00
942780,2013-07-28,скорый,04:03:00,23:38:00
750910,2018-02-09,скорый,10:45:00,06:34:00
168603,2006-12-12,скорый,06:05:00,03:13:00
088911,2002-06-16,товарный,13:46:00,15:37:00
418470,2016-08-16,скорый,12:08:00,21:08:00
100368,2007-08-09,скорый,03:11:00,02:00:00
179405,2023-08-02,скорый,12:59:00,09:28:00
157610,2003-02-20,пассажирский,03:05:00,10:44:00
367477,2020-03-01,товарный,21:11:00,18:22:00
274129,2001-01-09,скорый,08:48:00,16:14:00
160325,2022-01-25,пассажирский,18:39:00,21:43:00
500819,2019-12-23,товарный,23:33:00,11:57:00
958650,2020-02-23,скорый,08:35:00,02:06:00
264996,2022-09-25,скорый,13:56:00,04:08:00
958024,2003-12-14,пассажирский,02:55:00,21:41:00
436429,2016-12-16,скорый,00:55:00,22:46:00
611499,2018-12-12,пассажирский,10:34:00,13:05:00
963766,2022-03-03,скорый,02:22:00,00:56:00
499711,2013-05-10,скорый,14:13:00,15:48:00
747512,2016-08-29,скорый,10:15:00,06:46:00
947568,2010-04-17,скорый,06:31:00,17:43:00
273279,2005-02-06,скорый,19:02:00,23:09:00
131892,2010-03-21,товарный,21:50:00,01:14:00
323441,2006-06-14,товарный,13:49:00,21:07:00
152036,2020-09-26,товарный,12:54:00,01:46:00
798607,2006-05-06,товарный,12:06:00,22:41:00
363964,2013-10-15,пассажирский,02:18:00,05:43:00
411563,2007-03-20,пассажирский,12:06:00,00:30:00
918935,2009-10-20,товарный,07:02:00,02:58:00
815316,2010-04-16,товарный,08:45:00,06:24:00
550537,2007-10-18,пассажирский,00:29:00,10:00:00
091411,2012-08-10,скорый,11:19:00,23:01:00
945309,2000-11-16,скорый,16:41:00,19:41:00
357975,2023-02-18,товарный,21:37:00,07:21:00
659054,2017-06-06,пассажирский,01:44:00,21:54:00
944522,2007-11-11,товарный,00:52:00,11:11:00
792756,2019-04-21,товарный,22:22:00,09:25:00
807004,2003-05-01,пассажирский,22:19:00,16:23:00
185411,2021-09-23,товарный,02:33:00,21:05:00
283815,2011-08-07,товарный,19:19:00,13:22:00
947658,2005-03-22,пассажирский,09:59:00,01:40:00
647199,2010-12-29,товарный,06:14:00,02:10:00
082025,2010-04-07,скорый,10:01:00,19:21:00
294671,2013-03-21,товарный,14:38:00,15:32:00
592670,2004-05-31,товарный,18:22:00,09:58:00
370338,2004-03-09,товарный,03:53:00,08:50:00
381148,2012-08-03,пассажирский,02:03:00,12:48:00
531085,2020-02-16,пассажирский,09:48:00,13:25:00
997310,2008-12-20,скорый,10:24:00,13:18:00
453453,2023-06-17,скорый,17:02:00,20:02:00
566699,2017-12-20,скорый,06:11:00,09:57:00
957142,2017-11-16,пассажирский,07:13:00,17:55:00
052435,2018-10-05,скорый,08:40:00,03:39:00
629482,2005-11-24,скорый,12:30:00,12:09:00
416925,2020-11-18,пассажирский,20:25:00,14:23:00
832565,2006-10-28,товарный,04:16:00,13:28:00
979425,2006-04-05,товарный,09:59:00,04:30:00
331253,2006-02-03,пассажирский,07:02:00,05:09:00
862240,2004-04-29,скорый,12:46:00,06:30:00
175082,2002-05-18,скорый,05:01:00,03:36:00
617710,2021-07-10,скорый,02:44:00,22:50:00
193976,2009-06-22,пассажирский,01:59:00,14:30:00
527465,2020-08-18,скорый,10:36:00,19:56:00
484155,2008-02-07,пассажирский,06:12:00,22:53:00
664934,2008-07-20,скорый,13:32:00,19:02:00
230494,2013-08-30,товарный,14:28:00,05:15:00
433263,2011-01-25,скорый,17:50:00,10:12:00
994250,2023-09-02,пассажирский,16:33:00,16:36:00
866246,2016-09-09,пассажирский,22:09:00,21:20:00
561032,2008-02-03,пассажирский,04:17:00,04:44:00
452801,2021-11-21,пассажирский,03:49:00,07:28:00
465141,2015-02-25,пассажирский,17:24:00,18:55:00
830332,2006-01-30,пассажирский,19:07:00,13:47:00
230779,2012-05-04,пассажирский,11:46:00,00:39:00
800049,2009-07-29,скорый,11:54:00,21:31:00
259527,2010-02-23,товарный,12:12:00,12:08:00
848280,2001-04-02,товарный,21:30:00,11:09:00
425818,2002-04-12,товарный,20:27:00,14:11:00
992888,2013-12-11,пассажирский,10:32:00,15:24:00
930292,2021-05-05,пассажирский,01:14:00,08:26:00
902695,2013-09-12,пассажирский,13:42:00,02:08:00
157633,2021-03-18,скорый,21:30:00,05:45:00
881908,2019-03-01,товарный,07:40:00,08:59:00
808055,2010-09-27,товарный,22:04:00,05:05:00
971761,2016-07-11,пассажирский,21:05:00,15:15:00
598221,2016-02-11,пассажирский,21:04:00,16:20:00
664911,2014-08-23,товарный,20:01:00,10:05:00
992103,2016-03-25,скорый,22:55:00,17:17:00
032559,2002-04-24,скорый,03:20:00,15:52:00
633092,2006-01-16,пассажирский,02:36:00,12:12:00
375871,2019-11-12,пассажирский,03:31:00,07:13:00
332062,2006-08-24,пассажирский,10:31:00,23:56:00
073881,2010-01-23,скорый,12:42:00,20:26:00
385973,2013-09-16,товарный,20:13:00,22:40:00
036902,2007-10-29,товарный,23:41:00,06:24:00
073193,2006-07-09,скорый,00:44:00,21:02:00
944454,2012-01-30,пассажирский,04:29:00,15:49:00
479987,2013-07-19,пассажирский,07:51:00,05:35:00
538578,2013-05-03,скорый,23:27:00,03:36:00
229420,2005-12-12,скорый,15:46:00,13:25:00
764699,2020-01-14,пассажирский,04:13:00,06:47:00
509777,2020-09-18,скорый,08:07:00,05:57:00
300319,2002-04-22,скорый,17:23:00,10:07:00
597455,2014-10-11,товарный,16:51:00,00:01:00
172912,2023-02-18,пассажирский,23:42:00,01:28:00
822550,2022-05-28,товарный,18:32:00,03:32:00
871891,2023-04-14,скорый,01:36:00,10:52:00
722923,2024-06-30,товарный,21:28:00,02:37:00
379380,2024-04-07,товарный,08:42:00,23:39:00
993023,2022-09-27,пассажирский,14:53:00,23:21:00
554642,2012-01-17,пассажирский,07:02:00,18:45:00
130103,2002-06-20,скорый,10:02:00,23:51:00
659159,2019-04-14,скорый,15:00:00,19:57:00
111790,2002-08-24,товарный,04:25:00,23:59:00
216000,2010-08-18,пассажирский,20:30:00,16:52:00
811735,2001-05-26,скорый,09:18:00,15:56:00
440614,2012-01-02,пассажирский,22:59:00,16:52:00
188016,2013-12-02,скорый,19:25:00,18:25:00
370225,2008-04-21,товарный,02:39:00,06:15:00
543355,2020-07-17,скорый,19:59:00,02:27:00
285359,2014-03-02,скорый,06:07:00,21:01:00
621241,2022-01-02,товарный,01:13:00,08:29:00
072427,2017-01-12,скорый,12:54:00,23:17:00
990516,2021-12-02,товарный,09:28:00,16:19:00
398306,2022-07-26,скорый,15:16:00,09:52:00
564908,2022-07-19,товарный,00:31:00,09:38:00
715223,2016-10-02,товарный,09:42:00,08:14:00
309958,2022-01-09,пассажирский,10:50:00,00:32:00
227928,2020-10-06,пассажирский,17:22:00,12:37:00
205175,2002-04-05,скорый,23:31:00,09:32:00
994828,2000-03-09,скорый,15:15:00,22:13:00
990094,2017-12-13,скорый,15:26:00,19:58:00
799142,2010-10-01,скорый,21:58:00,14:03:00
566188,2008-07-31,скорый,07:13:00,10:12:00
996388,2004-02-02,пассажирский,16:38:00,02:44:00
000969,2011-04-06,скорый,00:26:00,17:19:00
433562,2013-11-25,пассажирский,02:07:00,04:10:00
716590,2014-03-02,пассажирский,14:18:00,22:54:00
827945,2021-03-27,пассажирский,12:05:00,18:55:00
843283,2010-10-12,скорый,11:32:00,17:48:00
386193,2010-09-26,пассажирский,20:16:00,01:19:00
728038,2022-10-31,скорый,22:04:00,22:07:00
293185,2013-06-25,товарный,15:43:00,16:18:00
815226,2002-05-17,товарный,01:28:00,22:57:00
805359,2004-08-30,скорый,01:35:00,04:21:00
687732,2010-06-29,пассажирский,07:07:00,07:18:00
918872,2015-11-08,скорый,05:49:00,06:37:00
073642,2014-07-17,пассажирский,02:53:00,22:13:00
423362,2012-01-15,товарный,07:50:00,17:24:00
291854,2005-09-27,скорый,09:57:00,02:13:00
563541,2008-11-25,скорый,14:16:00,10:11:00
212186,2021-09-15,пассажирский,14:16:00,06:48:00
717006,2017-03-07,скорый,01:36:00,02:28:00
913840,2008-02-05,пассажирский,16:48:00,19:02:00
307569,2015-09-10,пассажирский,19:42:00,22:53:00
175247,2008-04-21,пассажирский,09:12:00,13:22:00
761514,2012-01-30,пассажирский,10:41:00,20:33:00
390063,2023-02-16,пассажирский,02:44:00,20:26:00
139178,2004-10-05,товарный,09:38:00,17:35:00
775857,2020-09-28,скорый,09:17:00,09:14:00
413870,2023-06-23,пассажирский,08:48:00,07:27:00
682622,2007-03-08,товарный,07:46:00,18:29:00
117213,2020-05-06,скорый,08:47:00,13:09:00
817149,2006-07-13,пассажирский,04:51:00,23:19:00
216962,2013-10-05,скорый,21:08:00,16:59:00
572660,2023-04-07,пассажирский,21:06:00,07:37:00
472270,2021-03-18,пассажирский,22:50:00,07:38:00
922040,2013-07-01,скорый,23:51:00,15:36:00
222125,2012-10-01,скорый,05:57:00,21:20:00
497935,2002-10-07,товарный,05:53:00,13:48:00
025053,2019-03-01,пассажирский,14:46:00,13:49:00
663788,2004-10-16,пассажирский,15:37:00,19:18:00
585810,2012-07-06,товарный,09:36:00,19:25:00
861743,2023-10-01,пассажирский,00:16:00,21:43:00
979317,2001-01-13,скорый,21:30:00,14:40:00
324353,2005-12-31,скорый,22:36:00,01:56:00
001651,2009-08-20,пассажирский,21:35:00,07:31:00
726886,2020-04-09,товарный,03:16:00,20:10:00
473458,2006-03-03,скорый,17:07:00,00:01:00
979906,2014-03-14,пассажирский,00:57:00,12:23:00
934052,2000-12-01,товарный,00:52:00,01:53:00
553003,2016-02-01,скорый,03:27:00,20:51:00
192580,2017-09-01,пассажирский,15:53:00,16:16:00
023080,2016-09-20,скорый,14:11:00,09:43:00
269289,2006-03-16,пассажирский,07:57:00,03:03:00
293074,2019-02-26,товарный,12:42:00,10:19:00
450579,2015-08-09,пассажирский,18:40:00,01:52:00
933879,2020-06-08,пассажирский,04:53:00,02:15:00
365580,2014-12-24,скорый,10:34:00,00:14:00
555450,2001-06-08,товарный,14:18:00,00:21:00
123570,2017-11-13,товарный,00:51:00,13:02:00
741222,2009-10-18,пассажирский,02:39:00,11:08:00
905280,2022-07-28,пассажирский,16:05:00,19:42:00
436667,2018-06-08,пассажирский,20:50:00,17:24:00
958575,2024-07-14,скорый,00:06:00,14:33:00
915223,2005-06-21,пассажирский,03:33:00,14:42:00
721141,2022-10-11,пассажирский,23:41:00,07:25:00
140313,2004-06-15,скорый,16:27:00,11:11:00
026470,2001-07-03,пассажирский,04:47:00,21:43:00
250857,2002-05-04,товарный,17:24:00,07:20:00
557557,2022-08-01,скорый,08:49:00,12:56:00
712557,2005-08-05,пассажирский,15:59:00,17:06:00
734771,2009-03-28,товарный,06:06:00,21:19:00
447125,2008-02-13,товарный,23:10:00,13:22:00
223818,2010-11-06,пассажирский,13:06:00,04:17:00
337746,2018-05-09,товарный,12:50:00,00:55:00
406464,2008-03-02,пассажирский,11:35:00,13:07:00
775298,2013-04-11,пассажирский,03:56:00,21:18:00
069826,2009-08-03,пассажирский,05:38:00,18:31:00
228389,2020-01-13,товарный,23:08:00,00:16:00
266710,2022-02-25,пассажирский,09:12:00,09:11:00
442058,2001-11-05,товарный,21:46:00,08:22:00
543573,2024-04-25,товарный,19:21:00,03:13:00
220229,2022-11-05,товарный,05:49:00,19:49:00
003716,2009-11-23,скорый,05:12:00,21:24:00
551284,2015-01-27,товарный,05:34:00,08:52:00
848208,2000-11-30,скорый,21:05:00,10:35:00
032526,2010-05-13,пассажирский,15:10:00,09:28:00
972918,2006-08-24,товарный,19:25:00,15:51:00
921634,2004-11-13,скорый,20:43:00,07:55:00
037709,2024-12-01,пассажирский,06:38:00,02:14:00
083322,2011-03-18,товарный,16:06:00,11:24:00
393555,2006-10-24,товарный,07:15:00,02:10:00
245378,2001-05-16,скорый,00:26:00,20:20:00
380758,2006-01-23,пассажирский,12:44:00,12:14:00
703932,2024-05-21,товарный,03:05:00,00:34:00
033211,2022-10-18,товарный,07:32:00,15:06:00
763695,2006-03-10,пассажирский,21:07:00,03:58:00
062350,2008-11-09,скорый,20:02:00,18:35:00
607312,2002-04-24,пассажирский,03:58:00,00:52:00
529775,2005-05-27,пассажирский,05:27:00,07:18:00
518431,2015-02-15,товарный,14:27:00,02:44:00
469123,2010-06-23,товарный,02:49:00,19:02:00
488701,2016-12-10,товарный,18:06:00,00:32:00
660876,2018-01-08,скорый,15:10:00,05:31:00
531390,2013-04-19,товарный,17:49:00,07:48:00
597630,2012-11-12,скорый,13:27:00,13:19:00
978316,2008-03-15,товарный,20:19:00,22:52:00
959234,2008-01-10,пассажирский,16:08:00,04:11:00
776021,2015-02-20,пассажирский,04:38:00,14:45:00
460401,2014-11-28,товарный,06:36:00,18:19:00
872669,2002-10-13,товарный,17:55:00,08:11:00
950476,2002-04-06,пассажирский,12:56:00,04:42:00
669544,2008-09-01,товарный,00:26:00,01:14:00
673632,2004-05-23,товарный,00:15:00,01:43:00
215027,2016-03-06,пассажирский,12:28:00,20:14:00
621010,2013-07-25,товарный,17:51:00,02:14:00
632168,2009-12-26,скорый,22:16:00,05:54:00
098055,2024-05-04,скорый,06:40:00,22:49:00
937398,2004-12-21,скорый,20:48:00,05:24:00
803915,2021-02-21,товарный,02:37:00,08:09:00
209493,2015-05-27,скорый,15:34:00,11:58:00
592041,2017-01-17,товарный,05:51:00,14:43:00
499563,2011-05-27,товарный,03:26:00,18:02:00
249893,2015-03-29,пассажирский,19:11:00,23:37:00
040468,2012-03-26,скорый,02:24:00,20:49:00
717900,2001-06-02,пассажирский,11:04:00,16:16:00
669711,2006-04-19,скорый,18:32:00,15:33:00
235791,2015-05-02,товарный,18:51:00,00:27:00
845172,2012-09-06,пассажирский,16:34:00,01:35:00
350329,2020-01-19,товарный,21:43:00,11:59:00
464276,2019-12-17,пассажирский,09:47:00,12:19:00
669177,2018-09-24,пассажирский,14:42:00,21:36:00
663888,2018-03-23,скорый,11:22:00,20:47:00
924839,2021-03-16,скорый,17:07:00,16:23:00
467599,2006-10-12,пассажирский,11:49:00,07:48:00
720247,2017-12-11,товарный,20:25:00,15:30:00
795675,2006-10-25,товарный,00:38:00,05:11:00
648665,2016-11-02,товарный,14:30:00,11:38:00
543207,2008-02-13,пассажирский,11:28:00,04:23:00
488612,2004-02-10,товарный,06:34:00,02:58:00
606608,2017-02-05,скорый,10:41:00,08:45:00
104020,2010-07-26,скорый,23:25:00,00:25:00
240547,2023-07-10,товарный,11:34:00,09:04:00
940825,2010-07-24,скорый,01:06:00,13:49:00
393946,2014-12-18,товарный,17:05:00,08:33:00
820295,2004-04-29,товарный,20:59:00,22:35:00
565706,2012-10-17,скорый,10:35:00,04:18:00
388294,2011-12-27,товарный,08:48:00,17:36:00
247179,2011-11-13,скорый,21:43:00,18:45:00
248355,2007-01-21,товарный,07:20:00,14:14:00
309171,2017-03-13,товарный,02:04:00,14:58:00
596835,2021-08-22,скорый,03:37:00,13:05:00
125995,2012-03-22,товарный,05:25:00,23:01:00
419202,2000-03-25,пассажирский,12:36:00,23:35:00
745524,2001-07-31,скорый,22:58:00,19:05:00
683899,2022-07-22,товарный,20:14:00,05:10:00
016615,2015-07-21,скорый,06:53:00,11:28:00
124507,2003-06-24,скорый,13:11:00,11:33:00
185311,2017-07-17,скорый,01:26:00,16:20:00
842084,2014-01-31,скорый,04:54:00,12:53:00
006862,2000-04-14,товарный,08:48:00,00:48:00
930093,2005-02-04,товарный,01:05:00,10:37:00
163196,2015-03-16,товарный,13:21:00,22:48:00
727515,2018-05-19,скорый,03:49:00,06:49:00
077253,2001-01-03,товарный,20:50:00,15:20:00
746045,2002-01-02,товарный,00:12:00,13:22:00
542108,2010-01-08,скорый,02:28:00,16:01:00
332502,2008-03-24,скорый,17:34:00,07:00:00
