No,Date,Type,Departure time,Travel time
576389,2010-09-28,пассажирский,11:56:00,19:35:00
306350,2019-12-25,пассажирский,09:26:00,12:22:00
346016,2005-09-30,товарный,12:52:00,04:51:00
311994,2005-08-05,пассажирский,03:26:00,09:11:00
972312,2012-07-01,скорый,11:12:00,12:17:00
879571,2004-12-15,пассажирский,17:13:00,08:51:00
341365,2003-06-10,товарный,11:37:00,03:04:00
935078,2020-03-07,скорый,14:59:00,18:18:00
403093,2024-09-14,пассажирский,06:50:00,02:15:00
431828,2007-04-25,товарный,18:56:00,09:41:00
312940,2014-09-02,пассажирский,10:13:00,07:25:00
298577,2002-05-27,пассажирский,01:20:00,10:50:00
806468,2016-11-23,товарный,07:27:00,14:38:00
418467,2009-04-27,пассажирский,06:57:00,17:02:00
457921,2005-02-07,товарный,12:48:00,14:46:00
413751,2014-11-08,пассажирский,17:15:00,16:31:00
674358,2016-09-07,скорый,18:11:00,11:22:00
108361,2018-07-08,скорый,03:30:00,15:48:00
573972,2013-07-25,пассажирский,08:47:00,23:28:00
912031,2011-07-27,пассажирский,10:37:00,10:58:00
850921,2018-04-17,скорый,08:18:00,11:07:00
144594,2004-03-09,товарный,16:23:00,00:18:00
089944,2015-06-30,пассажирский,23:00:00,13:44:00
653882,2022-03-08,скорый,09:05:00,19:50:00
324704,2019-09-06,товарный,13:17:00,23:22:00
432854,2005-04-16,пассажирский,00:15:00,06:25:00
757518,2011-10-07,скорый,11:13:00,16:43:00
875841,2009-11-22,товарный,10:59:00,07:41:00
753074,2006-05-12,товарный,19:20:00,19:04:00
821988,2018-06-02,скорый,20:37:00,06:08:00
517778,2012-06-25,скорый,11:34:00,19:50:00
562668,2009-09-18,пассажирский,16:39:00,02:45:00
308649,2010-09-01,пассажирский,13:35:00,20:23:00
429964,2012-06-03,товарный,01:18:00,15:44:00
278594,2001-06-02,пассажирский,22:46:00,06:28:00
446176,2014-07-29,скорый,15:04:00,13:20:00
683995,2019-03-11,пассажирский,14:42:00,01:35:00
003113,2024-04-25,товарный,21:44:00,08:43:00
307929,2019-07-15,скорый,17:46:00,19:14:00
272905,2023-02-11,товарный,00:51:00,00:44:00
640991,2015-01-22,товарный,23:16:00,21:37:00
351061,2021-10-18,скорый,23:30:00,09:25:00
382517,2021-07-08,скорый,14:21:00,09:49:00
242252,2007-09-08,скорый,23:50:00,13:28:00
392285,2023-07-15,пассажирский,22:26:00,15:09:00
571810,2010-09-21,товарный,02:07:00,04:08:00
628705,2024-10-16,скорый,23:33:00,07:57:00
596309,2015-08-20,товарный,13:06:00,11:50:00
653766,2000-01-31,пассажирский,22:11:00,17:05:00
110383,2018-08-11,скорый,00:01:00,12:52:00
049151,2004-11-24,товарный,05:05:00,05:15:00
500873,2020-11-05,скорый,20:13:00,16:18:00
452367,2018-06-17,товарный,16:32:00,10:36:00
281077,2009-01-17,пассажирский,09:02:00,05:04:00
509912,2010-06-04,товарный,15:06:00,20:15:00
215953,2001-02-08,скорый,09:24:00,23:28:00
342154,2020-07-23,скорый,03:10:00,02:09:00
009055,2013-10-04,пассажирский,01:55:00,06:57:00
105922,2011-12-22,пассажирский,23:56:00,18:54:00
078499,2003-02-11,товарный,09:41:00,16:56:00
338892,2020-05-13,пассажирский,05:37:00,05:59:00
478192,2005-11-16,товарный,14:57:00,22:20:00
758402,2013-04-25,скорый,14:21:00,16:53:00
837804,2008-11-21,пассажирский,22:18:00,22:38:00
485643,2011-03-11,пассажирский,04:27:00,06:33:00
972499,2006-09-22,пассажирский,10:15:00,01:25:00
070958,2003-01-10,пассажирский,01:20:00,04:08:00
551891,2002-07-09,товарный,12:29:00,20:26:00
593086,2024-12-06,товарный,17:53:00,21:04:00
264673,2000-10-27,скорый,18:42:00,03:44:00
727053,2024-12-10,товарный,17:20:00,01:25:00
018079,2006-05-18,товарный,13:57:00,02:56:00
268196,2024-10-24,пассажирский,18:37:00,10:36:00
807424,2006-08-28,пассажирский,04:54:00,06:00:00
209108,2022-02-03,пассажирский,07:17:00,04:03:00
892235,2015-09-02,пассажирский,18:43:00,14:48:00
620422,2001-12-08,товарный,08:35:00,12:34:00
161714,2012-05-18,скорый,00:36:00,07:33:00
409075,2015-11-09,скорый,13:40:00,03:33:00
046850,2016-02-15,пассажирский,02:13:00,17:45:00
951250,2005-04-30,товарный,09:44:00,06:13:00
798245,2011-06-30,пассажирский,02:55:00,08:50:00
910874,2011-08-29,пассажирский,01:39:00,18:59:00
348819,2014-07-23,скорый,21:13:00,02:20:00
055673,2002-02-15,товарный,21:49:00,04:27:00
953115,2019-03-06,скорый,02:34:00,23:37:00
362907,2015-01-31,товарный,12:15:00,19:05:00
610977,2007-01-07,товарный,05:06:00,20:16:00
445456,2008-05-01,пассажирский,20:16:00,11:51:00
002293,2017-08-21,пассажирский,18:01:00,20:09:00
943547,2007-09-03,пассажирский,18:37:00,20:30:00
333694,2009-12-26,товарный,16:04:00,09:50:00
593518,2011-06-15,пассажирский,23:42:00,03:48:00
719755,2023-11-29,пассажирский,11:10:00,10:27:00
363638,2019-02-22,товарный,17:00:00,01:05:00
972818,2003-02-04,пассажирский,04:23:00,19:09:00
259957,2024-04-25,скорый,21:37:00,10:09:00
823605,2016-04-22,скорый,10:58:00,19:31:00
349145,2023-04-20,пассажирский,20:57:00,07:45:00
376549,2000-02-09,скорый,09:40:00,00:11:00
892718,2023-04-24,пассажирский,09:03:00,07:13:00
263559,2010-05-14,скорый,05:25:00,07:18:00
346510,2002-04-21,пассажирский,17:58:00,15:55:00
188440,2010-04-17,пассажирский,13:25:00,16:19:00
229913,2023-10-16,скорый,23:21:00,04:43:00
710231,2020-09-19,товарный,00:05:00,09:34:00
882395,2019-05-15,пассажирский,03:24:00,03:21:00
138621,2005-11-05,пассажирский,10:46:00,23:23:00
030614,2005-10-12,скорый,23:02:00,16:27:00
813403,2024-04-25,скорый,07:01:00,02:28:00
553353,2023-03-13,скорый,22:37:00,16:31:00
470868,2024-07-18,скорый,06:19:00,23:12:00
889622,2008-03-27,товарный,12:48:00,22:21:00
