No,Date,Type,Departure time,Travel time
435233,2002-11-14,скорый,22:30:00,02:17:00
539476,2005-11-24,пассажирский,17:07:00,21:03:00
771682,2014-06-17,товарный,16:55:00,14:26:00
056741,2011-11-14,скорый,06:38:00,23:31:00
268274,2019-12-07,пассажирский,19:12:00,17:08:00
988581,2017-06-18,пассажирский,11:42:00,02:22:00
756519,2002-11-19,товарный,11:11:00,23:00:00
322544,2003-09-25,пассажирский,14:51:00,11:54:00
501633,2009-03-22,пассажирский,05:44:00,15:48:00
163612,2020-12-23,товарный,15:06:00,04:26:00
323117,2005-12-17,товарный,00:05:00,16:07:00
576790,2023-02-18,пассажирский,02:00:00,23:58:00
590671,2022-09-07,пассажирский,18:02:00,05:17:00
725887,2010-01-13,пассажирский,20:46:00,12:04:00
285179,2007-10-15,товарный,04:19:00,04:59:00
398533,2024-11-12,пассажирский,06:23:00,03:54:00
787370,2013-12-10,пассажирский,01:28:00,12:54:00
644404,2009-03-17,скорый,00:05:00,12:28:00
838016,2012-11-10,скорый,11:28:00,11:35:00
770399,2005-04-20,скорый,23:58:00,16:59:00
570173,2000-02-21,товарный,15:16:00,21:10:00
032859,2006-09-27,скорый,01:18:00,03:36:00
076418,2009-10-08,пассажирский,16:04:00,02:01:00
679026,2018-09-25,товарный,16:49:00,10:31:00
806889,2014-03-29,скорый,22:39:00,06:29:00
897202,2019-12-24,товарный,14:57:00,18:33:00
681811,2022-07-04,товарный,01:56:00,07:52:00
141193,2023-07-26,товарный,05:52:00,22:53:00
578668,2024-11-02,товарный,14:21:00,16:08:00
635468,2010-10-10,товарный,09:48:00,07:10:00
841636,2010-09-21,пассажирский,01:14:00,20:55:00
359299,2012-06-04,пассажирский,21:25:00,08:54:00
684072,2006-07-08,товарный,02:25:00,00:32:00
681289,2020-12-13,пассажирский,08:23:00,21:38:00
210411,2017-03-06,скорый,22:40:00,03:20:00
160279,2002-12-13,пассажирский,17:00:00,23:11:00
791431,2011-01-12,товарный,01:39:00,02:17:00
854393,2002-04-12,пассажирский,20:41:00,15:13:00
576437,2003-09-01,товарный,12:12:00,23:47:00
775858,2019-09-17,товарный,11:24:00,23:36:00
811829,2014-11-18,пассажирский,15:07:00,17:38:00
999254,2018-05-03,товарный,07:40:00,04:24:00
175620,2024-04-25,пассажирский,04:11:00,18:47:00
758199,2001-08-13,скорый,07:21:00,13:10:00
495833,2007-04-29,пассажирский,18:08:00,16:14:00
438190,2013-01-27,товарный,19:07:00,23:10:00
437912,2010-03-02,товарный,18:02:00,13:44:00
348149,2004-08-12,скорый,16:02:00,16:38:00
523066,2024-04-25,пассажирский,15:04:00,01:07:00
808330,2016-03-18,пассажирский,13:54:00,06:53:00
966387,2004-09-23,товарный,02:25:00,06:59:00
131535,2019-04-13,товарный,07:33:00,21:25:00
886368,2005-09-14,скорый,00:55:00,11:14:00
272363,2002-09-17,пассажирский,12:29:00,21:46:00
874093,2001-06-28,скорый,08:35:00,17:25:00
013677,2022-12-20,товарный,22:59:00,10:05:00
337943,2003-09-17,товарный,18:50:00,05:54:00
600309,2019-04-16,скорый,04:48:00,19:37:00
686064,2021-09-09,пассажирский,02:45:00,04:45:00
525441,2009-11-30,товарный,06:05:00,12:15:00
789786,2018-07-21,пассажирский,02:44:00,18:28:00
789286,2009-10-22,пассажирский,02:09:00,15:27:00
896200,2024-10-12,товарный,17:35:00,13:17:00
657415,2016-06-20,скорый,18:18:00,08:16:00
240823,2011-01-10,товарный,23:36:00,09:08:00
728744,2000-02-24,товарный,16:05:00,03:27:00
130214,2012-07-19,товарный,05:33:00,02:44:00
591420,2007-10-03,товарный,11:04:00,22:15:00
146414,2015-07-27,скорый,00:16:00,11:26:00
090466,2021-07-14,товарный,13:26:00,08:55:00
570515,2013-10-10,пассажирский,13:39:00,18:53:00
885082,2013-02-19,пассажирский,10:50:00,13:38:00
366083,2000-04-30,товарный,21:52:00,16:01:00
948341,2004-06-15,пассажирский,09:02:00,01:10:00
719190,2011-04-17,пассажирский,02:21:00,11:29:00
560647,2011-09-11,товарный,11:32:00,22:28:00
230551,2023-02-26,пассажирский,09:43:00,14:00:00
284884,2007-02-09,скорый,21:33:00,12:32:00
059851,2024-01-09,скорый,07:56:00,13:06:00
686688,2019-08-27,пассажирский,14:21:00,13:31:00
353132,2024-04-25,скорый,20:10:00,11:51:00
537828,2005-08-22,товарный,19:52:00,22:23:00
428186,2014-05-11,пассажирский,04:37:00,03:12:00
073464,2014-08-25,пассажирский,01:35:00,05:52:00
960310,2023-07-06,скорый,10:45:00,03:02:00
085171,2009-03-31,пассажирский,17:58:00,11:38:00
657256,2012-03-18,товарный,00:11:00,03:56:00
259805,2013-02-21,пассажирский,13:27:00,12:26:00
006994,2011-06-06,товарный,02:46:00,09:22:00
395613,2012-11-12,товарный,06:50:00,05:22:00
349210,2016-08-18,товарный,00:04:00,06:29:00
711599,2021-01-18,товарный,20:05:00,14:34:00
207888,2016-07-01,скорый,08:25:00,15:30:00
639913,2021-05-26,товарный,22:37:00,03:14:00
176851,2008-11-28,пассажирский,18:34:00,02:19:00
950900,2009-04-01,пассажирский,19:39:00,09:06:00
921396,2016-04-22,скорый,19:24:00,22:00:00
412877,2014-06-11,скорый,02:36:00,03:19:00
132046,2000-05-22,пассажирский,06:20:00,20:33:00
348240,2018-03-26,пассажирский,17:34:00,04:12:00
