No,Date,Type,Departure time,Travel time
119764,2002-12-25,пассажирский,04:00:00,12:13:00
283046,2013-12-20,пассажирский,13:13:00,17:59:00
379873,2012-04-25,пассажирский,00:46:00,05:13:00
117162,2005-03-19,скорый,10:38:00,02:43:00
453055,2016-05-12,скорый,10:43:00,19:46:00
821050,2006-11-29,скорый,12:19:00,07:02:00
397720,2015-04-10,пассажирский,23:10:00,17:32:00
550806,2000-09-09,пассажирский,01:18:00,07:47:00
184745,2007-12-17,пассажирский,16:34:00,10:46:00
574572,2024-08-29,скорый,09:08:00,20:59:00
773137,2002-06-28,товарный,22:29:00,00:36:00
574668,2013-10-17,скорый,16:52:00,04:20:00
242774,2016-10-05,товарный,06:07:00,01:14:00
615746,2002-06-01,пассажирский,22:45:00,03:23:00
316716,2008-11-13,скорый,07:53:00,18:56:00
839098,2013-09-19,скорый,19:57:00,13:00:00
996999,2017-12-12,скорый,01:57:00,06:54:00
678183,2012-11-06,пассажирский,02:52:00,18:10:00
971637,2022-07-28,пассажирский,17:57:00,14:10:00
321023,2000-02-03,пассажирский,10:01:00,02:55:00
307149,2023-02-12,пассажирский,14:17:00,18:52:00
236484,2014-04-07,скорый,13:12:00,13:18:00
513747,2003-08-23,пассажирский,18:38:00,01:09:00
192914,2008-02-03,товарный,05:11:00,20:38:00
845878,2006-10-11,товарный,21:54:00,16:01:00
361395,2011-06-24,скорый,07:59:00,18:46:00
141701,2010-03-17,скорый,05:07:00,19:21:00
835765,2003-11-12,товарный,09:12:00,11:19:00
264872,2010-12-04,скорый,14:33:00,23:55:00
095671,2017-01-05,скорый,13:09:00,02:07:00
630831,2011-01-24,товарный,02:48:00,18:36:00
342322,2008-01-17,скорый,01:03:00,17:29:00
032096,2000-12-27,скорый,14:08:00,22:04:00
958719,2015-08-26,пассажирский,10:53:00,07:44:00
248616,2007-03-18,скорый,06:53:00,06:59:00
475078,2016-09-07,товарный,07:50:00,14:11:00
869875,2019-01-16,скорый,03:40:00,05:37:00
844467,2011-12-16,пассажирский,01:27:00,01:49:00
810587,2024-11-20,скорый,22:36:00,09:14:00
653343,2020-11-17,пассажирский,05:58:00,20:24:00
750374,2014-02-15,товарный,01:40:00,12:10:00
806782,2001-02-09,товарный,05:29:00,18:00:00
272401,2004-12-24,пассажирский,04:36:00,14:50:00
510323,2018-07-18,товарный,17:19:00,04:54:00
706954,2011-04-02,пассажирский,10:21:00,03:15:00
074057,2003-10-17,скорый,02:52:00,08:03:00
601677,2023-10-12,пассажирский,19:57:00,18:48:00
794095,2001-02-18,пассажирский,17:13:00,09:37:00
025902,2002-04-25,пассажирский,10:11:00,06:49:00
762629,2004-07-19,пассажирский,15:20:00,09:54:00
573168,2005-07-04,пассажирский,21:34:00,17:42:00
698264,2020-04-20,скорый,20:51:00,12:18:00
225346,2021-10-06,пассажирский,02:55:00,01:12:00
291266,2022-04-21,товарный,16:47:00,08:20:00
691693,2006-08-16,товарный,21:20:00,09:49:00
742331,2012-03-11,скорый,14:02:00,22:25:00
413883,2021-05-12,скорый,12:59:00,12:58:00
939787,2021-06-19,товарный,12:38:00,19:55:00
211007,2001-05-11,пассажирский,05:38:00,01:51:00
327599,2020-08-15,пассажирский,13:07:00,02:16:00
766167,2023-06-22,пассажирский,22:16:00,01:13:00
611308,2018-04-20,скорый,06:24:00,23:11:00
686813,2005-10-06,пассажирский,03:57:00,16:48:00
252643,2013-06-12,товарный,10:19:00,07:34:00
972579,2023-06-10,пассажирский,19:33:00,00:25:00
668894,2021-07-22,скорый,23:57:00,16:29:00
955998,2024-04-17,скорый,04:31:00,23:15:00
698302,2008-11-05,товарный,03:35:00,04:42:00
420302,2021-11-23,скорый,07:49:00,19:34:00
911300,2017-08-21,товарный,10:52:00,04:58:00
389875,2017-09-27,товарный,15:29:00,14:22:00
263813,2024-08-16,товарный,11:55:00,19:19:00
333923,2003-12-19,скорый,16:40:00,16:45:00
320023,2015-11-02,пассажирский,06:19:00,15:34:00
444403,2007-04-15,пассажирский,06:59:00,12:07:00
025980,2004-11-28,товарный,09:04:00,15:44:00
048790,2006-02-28,скорый,16:51:00,16:39:00
895986,2018-04-05,пассажирский,09:48:00,09:24:00
963904,2017-12-06,товарный,17:49:00,17:17:00
200934,2021-04-26,скорый,05:18:00,03:24:00
494137,2017-04-30,скорый,13:52:00,01:38:00
532330,2014-12-19,товарный,14:11:00,03:58:00
587567,2022-05-11,скорый,14:41:00,09:56:00
131048,2006-02-14,скорый,03:55:00,17:09:00
357202,2016-11-17,скорый,13:12:00,03:31:00
863127,2024-01-21,товарный,18:15:00,06:07:00
440957,2023-05-28,товарный,11:18:00,17:03:00
033629,2016-06-03,товарный,15:23:00,17:58:00
110982,2000-06-07,товарный,16:44:00,11:22:00
491596,2007-02-11,товарный,07:02:00,14:04:00
371674,2023-10-04,скорый,07:14:00,10:43:00
316992,2014-12-03,товарный,17:31:00,10:38:00
696155,2009-02-14,скорый,12:56:00,23:02:00
428067,2024-11-09,товарный,08:34:00,04:22:00
023640,2003-06-26,пассажирский,16:36:00,21:34:00
233369,2004-02-27,товарный,19:38:00,19:26:00
036541,2016-09-28,пассажирский,03:24:00,14:13:00
985629,2005-01-04,пассажирский,14:09:00,02:19:00
161895,2005-01-21,товарный,02:34:00,09:57:00
684851,2012-06-05,пассажирский,04:35:00,15:42:00
498800,2022-05-26,товарный,09:59:00,00:46:00
627132,2016-07-09,товарный,06:16:00,14:47:00
789173,2007-08-25,пассажирский,05:16:00,04:04:00
902739,2022-12-22,товарный,15:54:00,01:49:00
941440,2022-05-03,скорый,11:31:00,06:27:00
840555,2005-01-26,пассажирский,05:59:00,03:16:00
603274,2003-12-03,скорый,19:49:00,20:32:00
213446,2022-06-21,пассажирский,03:33:00,09:04:00
740358,2012-04-12,пассажирский,12:02:00,17:36:00
973711,2021-05-08,пассажирский,12:37:00,15:03:00
515023,2021-05-23,товарный,13:42:00,23:40:00
372549,2017-07-24,скорый,08:22:00,23:33:00
704833,2007-03-16,пассажирский,14:02:00,02:31:00
169089,2006-12-18,пассажирский,17:38:00,14:14:00
801928,2012-11-25,скорый,05:31:00,09:54:00
645279,2014-01-19,товарный,00:16:00,20:21:00
750133,2000-11-15,пассажирский,07:54:00,07:43:00
382171,2003-03-04,товарный,23:01:00,04:34:00
494059,2022-11-10,товарный,12:04:00,17:13:00
709199,2008-01-26,товарный,08:33:00,03:30:00
494541,2012-08-16,пассажирский,00:29:00,23:13:00
214707,2020-10-30,товарный,19:52:00,23:28:00
342933,2011-03-26,товарный,12:39:00,07:50:00
792825,2006-08-06,пассажирский,22:08:00,02:00:00
106168,2018-03-23,пассажирский,20:06:00,21:35:00
926949,2005-01-24,товарный,13:20:00,06:22:00
053975,2018-06-06,скорый,16:20:00,13:49:00
594204,2007-04-11,товарный,03:02:00,22:42:00
973628,2008-11-10,товарный,16:47:00,10:19:00
843272,2012-12-26,пассажирский,12:10:00,23:49:00
344736,2020-12-05,товарный,11:01:00,20:42:00
637436,2022-10-24,пассажирский,20:19:00,16:08:00
656961,2007-05-06,скорый,10:50:00,04:46:00
598110,2008-06-20,товарный,17:11:00,03:00:00
127739,2007-08-24,скорый,17:49:00,11:37:00
686857,2010-05-02,товарный,17:09:00,06:59:00
497416,2018-10-28,скорый,00:50:00,08:55:00
814445,2019-12-06,скорый,11:29:00,19:53:00
223404,2014-12-20,пассажирский,22:13:00,04:42:00
300446,2000-03-04,скорый,08:06:00,08:00:00
766401,2019-02-22,скорый,05:37:00,06:44:00
398402,2000-10-20,товарный,02:07:00,19:39:00
814665,2009-06-26,пассажирский,02:41:00,13:18:00
506488,2024-12-09,пассажирский,10:15:00,14:24:00
061020,2024-11-13,скорый,03:17:00,13:00:00
708345,2006-12-26,пассажирский,04:33:00,02:56:00
901832,2009-03-25,пассажирский,17:07:00,09:28:00
319328,2008-01-26,товарный,10:21:00,21:03:00
597809,2008-01-13,пассажирский,20:51:00,00:41:00
591120,2006-06-20,скорый,03:12:00,19:10:00
221227,2018-09-26,товарный,19:12:00,21:57:00
994111,2024-11-10,товарный,05:35:00,12:20:00
527677,2002-09-21,товарный,14:19:00,22:33:00
854769,2001-12-07,пассажирский,08:45:00,18:58:00
930665,2015-08-01,пассажирский,04:45:00,23:36:00
752624,2016-12-06,скорый,09:53:00,13:33:00
439310,2015-04-02,товарный,19:02:00,16:25:00
875244,2020-01-10,скорый,18:06:00,14:35:00
458109,2000-08-27,скорый,16:37:00,04:20:00
240830,2024-07-09,товарный,19:33:00,01:44:00
178086,2016-04-12,скорый,00:15:00,10:49:00
388932,2021-08-12,скорый,03:47:00,15:09:00
153046,2008-02-16,товарный,18:29:00,05:44:00
529467,2007-10-03,скорый,19:46:00,01:15:00
197032,2016-12-20,скорый,14:18:00,03:13:00
790389,2012-01-14,скорый,12:17:00,12:02:00
977952,2006-07-15,пассажирский,03:58:00,13:15:00
251253,2015-01-25,скорый,22:30:00,23:59:00
600948,2003-06-22,товарный,16:47:00,01:36:00
128067,2010-07-18,товарный,22:35:00,07:09:00
062981,2017-03-10,пассажирский,06:25:00,12:41:00
757278,2008-01-10,товарный,03:23:00,04:02:00
217604,2017-08-14,скорый,18:24:00,00:14:00
718814,2023-08-17,пассажирский,19:34:00,17:19:00
069927,2011-04-03,пассажирский,11:48:00,02:40:00
760526,2004-07-11,пассажирский,19:00:00,01:11:00
118222,2015-07-17,пассажирский,21:49:00,22:09:00
536047,2020-07-13,скорый,10:04:00,03:47:00
441430,2022-12-23,товарный,21:20:00,15:15:00
188277,2017-12-07,скорый,14:39:00,09:22:00
557220,2012-06-09,пассажирский,19:39:00,12:39:00
765132,2023-01-13,пассажирский,09:16:00,23:17:00
812034,2003-10-20,пассажирский,02:40:00,12:05:00
628121,2014-02-08,товарный,16:47:00,08:13:00
371684,2023-02-12,товарный,16:48:00,03:28:00
992778,2000-07-01,товарный,22:44:00,09:58:00
710364,2016-03-13,товарный,10:53:00,03:23:00
217089,2002-06-05,скорый,01:23:00,13:30:00
547646,2010-08-30,товарный,22:16:00,09:51:00
975041,2013-10-13,товарный,03:43:00,17:19:00
911423,2017-03-01,товарный,17:27:00,19:20:00
504812,2012-09-27,пассажирский,19:20:00,22:39:00
803899,2002-03-05,скорый,10:00:00,00:34:00
742742,2015-05-27,скорый,14:54:00,14:26:00
365794,2004-06-04,скорый,07:30:00,06:15:00
178560,2001-10-25,пассажирский,07:02:00,11:16:00
842209,2017-08-18,скорый,22:30:00,08:38:00
955751,2009-11-03,товарный,15:18:00,19:23:00
504479,2017-08-02,товарный,05:02:00,10:39:00
101238,2017-05-07,товарный,02:16:00,03:46:00
469259,2002-12-16,товарный,14:37:00,22:14:00
658553,2016-09-05,товарный,13:28:00,06:45:00
172244,2008-04-28,пассажирский,18:22:00,00:29:00
231185,2007-04-22,пассажирский,14:03:00,04:33:00
117877,2011-05-12,скорый,17:20:00,15:39:00
111427,2009-07-11,пассажирский,17:33:00,01:56:00
488367,2016-09-21,товарный,10:35:00,00:44:00
013452,2012-02-10,скорый,06:58:00,05:58:00
852941,2007-03-19,пассажирский,07:57:00,16:39:00
712630,2009-06-20,товарный,09:42:00,16:07:00
278320,2005-09-17,скорый,12:52:00,00:17:00
726913,2020-05-02,скорый,03:19:00,22:04:00
732713,2021-04-06,скорый,18:12:00,15:42:00
164006,2013-06-02,товарный,18:53:00,16:26:00
662315,2019-10-11,скорый,07:38:00,18:17:00
419970,2007-05-26,товарный,17:42:00,00:16:00
606507,2008-08-08,товарный,16:16:00,17:11:00
995495,2002-01-11,скорый,02:31:00,02:49:00
255989,2023-10-23,скорый,06:28:00,11:11:00
857830,2024-10-10,скорый,00:33:00,02:06:00
376286,2000-10-26,скорый,22:14:00,12:30:00
246663,2003-09-21,скорый,15:33:00,16:30:00
796204,2000-01-31,товарный,06:02:00,19:21:00
754358,2024-11-02,скорый,04:45:00,07:14:00
855581,2019-02-28,скорый,13:28:00,18:13:00
052372,2012-08-01,пассажирский,01:13:00,01:27:00
958765,2013-02-13,товарный,03:58:00,20:04:00
