No,Date,Type,Departure time,Travel time
939088,2006-02-06,скорый,03:40:00,16:12:00
914080,2012-05-10,пассажирский,12:23:00,18:01:00
502127,2013-07-25,пассажирский,18:08:00,05:56:00
934821,2011-01-22,скорый,06:36:00,16:21:00
978507,2021-05-15,товарный,12:59:00,09:32:00
495539,2008-05-26,скорый,02:57:00,02:02:00
055086,2000-02-21,пассажирский,06:08:00,06:02:00
748426,2019-11-04,скорый,06:02:00,17:13:00
241044,2018-06-05,скорый,10:07:00,11:56:00
152770,2024-06-04,пассажирский,15:03:00,23:43:00
262269,2002-08-20,скорый,16:46:00,03:20:00
452786,2014-02-15,товарный,01:50:00,12:23:00
560263,2004-12-09,скорый,19:18:00,08:50:00
043764,2016-02-06,скорый,06:34:00,22:26:00
577379,2011-12-04,пассажирский,05:59:00,02:38:00
407966,2000-02-04,скорый,08:30:00,21:11:00
864731,2018-06-02,пассажирский,16:00:00,19:57:00
116842,2000-07-03,товарный,02:49:00,13:06:00
162143,2012-11-04,товарный,15:52:00,08:15:00
619241,2002-04-21,пассажирский,04:26:00,15:02:00
355825,2002-05-19,скорый,10:48:00,00:29:00
955946,2008-07-16,пассажирский,03:20:00,17:33:00
863274,2004-05-21,скорый,00:22:00,09:13:00
887526,2005-06-06,пассажирский,06:24:00,09:36:00
814037,2011-05-17,товарный,11:30:00,22:21:00
769782,2024-10-20,пассажирский,19:07:00,02:40:00
624335,2018-08-05,товарный,18:08:00,05:22:00
024824,2021-04-14,скорый,20:54:00,16:05:00
800974,2020-02-03,скорый,00:59:00,14:04:00
713463,2008-03-28,товарный,00:36:00,05:36:00
458025,2008-12-30,пассажирский,14:22:00,16:21:00
019502,2008-07-04,товарный,03:41:00,04:20:00
200486,2008-08-12,пассажирский,08:16:00,12:13:00
868342,2000-05-09,пассажирский,04:48:00,10:19:00
059426,2002-02-25,пассажирский,15:38:00,05:33:00
129971,2007-08-01,товарный,04:27:00,07:19:00
362303,2005-07-14,скорый,03:03:00,22:14:00
027732,2018-10-15,скорый,10:48:00,20:30:00
600500,2012-08-24,скорый,04:37:00,23:21:00
270163,2024-06-03,пассажирский,16:29:00,07:46:00
084535,2017-10-05,пассажирский,06:03:00,21:45:00
203695,2013-05-15,пассажирский,11:46:00,17:40:00
964984,2016-03-30,скорый,01:16:00,13:29:00
455366,2014-11-18,товарный,10:06:00,02:40:00
351607,2003-03-12,пассажирский,02:32:00,20:35:00
519640,2002-01-30,скорый,21:36:00,17:38:00
138639,2004-11-07,скорый,01:52:00,03:12:00
001766,2015-09-29,пассажирский,16:44:00,09:48:00
509557,2003-09-05,пассажирский,18:35:00,08:05:00
006754,2012-08-26,товарный,17:59:00,00:59:00
099743,2007-12-05,пассажирский,04:04:00,22:37:00
204670,2022-04-16,товарный,16:08:00,15:19:00
500288,2013-03-15,товарный,17:04:00,07:12:00
697432,2003-12-20,скорый,04:57:00,23:57:00
740149,2010-05-07,пассажирский,05:13:00,13:13:00
251084,2012-09-01,товарный,01:25:00,17:16:00
329030,2014-09-01,товарный,18:07:00,11:08:00
215107,2001-05-08,скорый,07:59:00,03:42:00
059789,2000-04-28,скорый,14:14:00,02:19:00
971883,2008-05-27,пассажирский,16:43:00,17:32:00
120760,2002-03-21,пассажирский,23:09:00,21:05:00
150492,2011-07-21,пассажирский,14:12:00,12:33:00
924074,2021-01-22,товарный,00:20:00,13:45:00
734890,2002-04-22,скорый,04:39:00,11:16:00
491558,2018-06-12,товарный,06:22:00,18:00:00
246498,2002-12-13,товарный,18:54:00,04:08:00
747417,2002-12-30,скорый,11:50:00,01:39:00
023670,2015-05-10,пассажирский,16:39:00,08:46:00
435125,2002-04-26,скорый,17:38:00,16:28:00
087014,2007-02-06,пассажирский,05:35:00,15:40:00
322899,2021-12-21,скорый,12:50:00,21:55:00
672252,2023-12-21,пассажирский,04:02:00,09:15:00
277489,2009-11-19,скорый,10:01:00,07:03:00
057629,2018-06-07,товарный,19:21:00,10:25:00
720356,2021-08-14,скорый,00:21:00,17:43:00
297432,2023-08-19,товарный,20:09:00,04:34:00
204532,2012-06-20,пассажирский,04:42:00,01:59:00
511291,2012-01-12,скорый,13:07:00,05:53:00
856732,2009-09-28,пассажирский,00:26:00,05:26:00
311977,2019-11-27,пассажирский,01:57:00,15:20:00
223835,2013-12-17,товарный,03:09:00,17:47:00
150765,2005-06-16,товарный,04:01:00,15:16:00
869684,2014-08-31,пассажирский,02:28:00,18:41:00
600577,2012-12-11,товарный,04:11:00,22:26:00
484311,2004-06-17,пассажирский,05:08:00,06:32:00
497205,2020-01-02,скорый,23:43:00,19:17:00
017640,2003-09-14,пассажирский,14:55:00,12:14:00
546427,2024-12-10,пассажирский,11:49:00,17:52:00
142557,2021-03-03,скорый,13:03:00,13:09:00
049825,2015-01-04,товарный,14:53:00,20:24:00
618653,2024-04-28,товарный,21:28:00,05:17:00
877433,2001-10-28,скорый,16:21:00,23:28:00
090794,2008-01-13,пассажирский,01:52:00,19:44:00
782396,2005-06-02,пассажирский,00:00:00,16:58:00
156442,2009-07-08,пассажирский,20:52:00,03:47:00
342954,2015-12-16,товарный,01:30:00,05:32:00
605402,2014-01-13,пассажирский,17:01:00,12:20:00
755745,2000-08-02,пассажирский,06:12:00,23:23:00
756612,2002-03-20,скорый,13:22:00,00:28:00
829718,2014-11-28,товарный,01:02:00,22:44:00
405054,2018-12-11,товарный,17:07:00,10:59:00
235331,2008-10-06,пассажирский,11:22:00,04:08:00
818691,2009-07-14,пассажирский,20:14:00,09:44:00
229226,2021-07-01,товарный,10:49:00,22:42:00
748316,2016-03-08,пассажирский,00:28:00,18:26:00
768294,2017-12-22,пассажирский,23:10:00,02:20:00
302804,2008-10-14,пассажирский,13:40:00,09:21:00
356295,2010-10-06,товарный,02:30:00,11:25:00
082222,2017-02-14,пассажирский,19:53:00,06:34:00
541845,2014-06-05,скорый,23:15:00,09:03:00
988324,2005-11-26,скорый,13:02:00,21:39:00
538372,2012-07-11,товарный,03:42:00,18:18:00
074918,2015-07-11,товарный,17:32:00,20:12:00
977178,2006-09-06,скорый,09:36:00,07:49:00
535734,2006-11-16,скорый,19:15:00,07:35:00
384373,2004-11-02,пассажирский,10:49:00,10:21:00
427049,2023-05-23,пассажирский,22:04:00,08:57:00
485542,2024-03-11,скорый,23:06:00,00:58:00
108740,2022-04-04,скорый,11:02:00,09:29:00
442449,2020-10-11,скорый,18:24:00,22:22:00
232492,2001-10-24,товарный,16:23:00,22:15:00
807300,2024-10-28,скорый,10:03:00,17:42:00
909429,2010-12-11,товарный,21:22:00,14:23:00
105940,2004-06-11,товарный,17:18:00,10:49:00
459566,2004-10-15,товарный,02:36:00,19:04:00
702665,2022-01-13,пассажирский,12:40:00,03:37:00
673951,2019-03-14,товарный,02:58:00,04:06:00
287916,2019-07-07,товарный,07:51:00,09:59:00
382711,2023-02-02,товарный,11:13:00,09:49:00
680109,2024-02-14,пассажирский,12:24:00,15:52:00
730234,2010-08-03,пассажирский,00:06:00,20:41:00
226296,2006-11-06,пассажирский,05:09:00,09:18:00
910153,2016-07-04,товарный,06:06:00,22:40:00
508933,2008-02-04,скорый,18:44:00,23:03:00
115292,2019-11-15,товарный,01:46:00,04:00:00
542327,2021-02-16,товарный,10:10:00,23:04:00
913801,2004-09-10,пассажирский,09:05:00,18:06:00
392246,2022-04-05,скорый,02:22:00,03:31:00
751272,2000-04-24,пассажирский,22:58:00,05:48:00
276717,2011-04-09,товарный,06:34:00,12:28:00
045220,2020-01-01,товарный,10:20:00,00:31:00
470621,2014-05-10,пассажирский,08:54:00,15:37:00
382809,2005-10-25,пассажирский,02:12:00,03:05:00
317425,2014-03-15,пассажирский,08:55:00,23:02:00
693768,2005-06-05,пассажирский,04:09:00,20:04:00
173710,2011-03-05,скорый,10:47:00,21:36:00
370842,2020-05-10,товарный,06:30:00,04:59:00
960565,2010-09-26,товарный,19:38:00,19:17:00
889087,2022-10-27,пассажирский,12:05:00,17:42:00
587893,2009-07-14,товарный,14:40:00,10:34:00
116925,2011-10-12,скорый,17:30:00,08:42:00
457880,2013-11-27,пассажирский,02:02:00,03:31:00
835927,2013-11-27,товарный,09:27:00,12:46:00
407359,2008-07-18,пассажирский,07:46:00,22:59:00
348718,2001-04-19,товарный,10:14:00,22:47:00
176596,2019-12-12,скорый,17:40:00,02:43:00
356505,2017-05-17,товарный,14:20:00,06:20:00
783605,2006-10-02,скорый,17:55:00,22:07:00
714827,2001-03-26,товарный,09:08:00,03:09:00
372114,2022-02-19,пассажирский,21:56:00,22:18:00
988112,2009-08-24,скорый,08:43:00,16:48:00
279056,2022-10-28,товарный,10:49:00,08:26:00
667745,2010-08-16,пассажирский,09:18:00,06:29:00
862941,2019-09-02,скорый,10:03:00,05:04:00
914704,2004-08-07,скорый,11:24:00,22:38:00
730721,2022-02-20,товарный,12:03:00,10:51:00
555805,2021-02-16,товарный,12:32:00,18:01:00
175859,2019-11-13,скорый,01:38:00,03:56:00
045350,2001-06-05,товарный,15:22:00,06:39:00
089423,2012-09-05,скорый,12:41:00,19:22:00
891149,2003-08-26,пассажирский,22:18:00,15:51:00
084071,2020-06-29,пассажирский,12:22:00,06:59:00
862762,2022-09-10,пассажирский,05:22:00,18:48:00
351389,2003-06-27,товарный,00:38:00,14:12:00
111759,2010-10-25,пассажирский,20:22:00,07:54:00
425579,2017-03-22,скорый,17:08:00,23:22:00
